sample_id,time_point,treatment,extraction_batch
X119,Unfertilized_egg,AMB,0
X120,Unfertilized_egg,AMB,0
X121,Unfertilized_egg,AMB,12
X127,Fertilized_egg,AMB,10
X132,Fertilized_egg,AMB,10
X153,Cleavage,AMB,9
X154,Cleavage,AMB,8
X159,Cleavage,AMB,11
X162,Prawn_chip,AMB,10
X163,Prawn_chip,AMB,8
X167,Prawn_chip,AMB,10
X179,Early_gastrula,AMB,10
X180,Early_gastrula,AMB,11
X184,Early_gastrula,AMB,12
X212,Mid_gastrula,AMB,12
X215,Mid_gastrula,AMB,12
X218,Late_gastrula,AMB,1
X221,Late_gastrula,AMB,12
X359,Planula,AMB,5
X361,Planula,AMB,7
X375,Planula,AMB,5
X1101,Adult,AMB,NA
X1548,Adult,AMB,NA
X1628,Adult,AMB,NA
